CAREHOME_id	Box_id	caseload_month	wmd.caseload_yr -8	caseload_size	Days_Since_Last_Reading	observ_month	wmd.observ_yr -8	BP	Pulse	O2	Temp	NEWS2(0-4)	NEWS2(5-6)	NEWS2(7+)	NEWS2
XM1PG1	BOX54	JUNE 	2013	27	38	JUNE 	2013	0	0	0	0	0	0	0	0
XL2FD1	BOX55	JUNE 	2013	8	0	JUNE 	2013	10	18	8	473	0	0	0	0
XLXTY1	BOX56	JUNE 	2013	4	4	JUNE 	2013	0	0	0	0	0	0	0	0
XLWF61	BOX57	JUNE 	2013	16	24	JUNE 	2013	16	31	15	15	0	0	0	0
XL5YG1	BOX58	JUNE 	2013	8	86	JUNE 	2013	0	0	0	0	0	0	0	0
XL2L31	BOX59	JUNE 	2013	3	20	JUNE 	2013	1	2	1	0	0	0	0	0
XM19J1	BOX60	JUNE 	2013	3	145	JUNE 	2013	0	0	0	0	0	0	0	0
XL2H81	BOX61	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2HD1	BOX62	JUNE 	2013	4	59	JUNE 	2013	0	0	0	0	0	0	0	0
XL2HD1	BOX63	JUNE 	2013	4	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM92X1	BOX64	JUNE 	2013	17	61	JUNE 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX65	JUNE 	2013	29	88	JUNE 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX66	JUNE 	2013	28	88	JUNE 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX67	JUNE 	2013	26	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX68	JUNE 	2013	26	90	JUNE 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX69	JUNE 	2013	20	88	JUNE 	2013	0	0	0	0	0	0	0	0
XM1PG1	BOX70	JUNE 	2013	1	132	JUNE 	2013	0	0	0	0	0	0	0	0
XNJ4J1	BOX71	JUNE 	2013	12	94	JUNE 	2013	0	0	0	0	0	0	0	0
XL2J01	BOX72	JUNE 	2013	15	5	JUNE 	2013	21	42	21	20	11	0	0	11
XL2J11	BOX73	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM5JP1	BOX74	JUNE 	2013	6	4	JUNE 	2013	12	23	11	11	6	0	0	6
XL2JA1	BOX75	JUNE 	2013	7	27	JUNE 	2013	0	87	87	94	0	0	0	0
XL2JF1	BOX76	JUNE 	2013	8	1	JUNE 	2013	8	400	392	405	0	0	0	0
XL2JL1	BOX77	JUNE 	2013	17	50	JUNE 	2013	0	0	0	0	0	0	0	0
XL2JN1	BOX78	JUNE 	2013	34	3	JUNE 	2013	0	0	0	0	0	0	0	0
XM5FD1	BOX79	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM5FD1	BOX80	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM5FD1	BOX81	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM5FD1	BOX82	JUNE 	2013	10	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM5FD1	BOX83	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNC951	BOX84	JUNE 	2013	3	102	JUNE 	2013	0	0	0	0	0	0	0	0
XNC951	BOX85	JUNE 	2013	1	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNJQE1	BOX86	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM9G71	BOX87	JUNE 	2013	3	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2KV1	BOX88	JUNE 	2013	3	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2KV1	BOX89	JUNE 	2013	5	0	JUNE 	2013	0	0	0	0	0	0	0	0
